#SMS-LM v1 (domain-pruned)
#source=lm-ngrams.tsv
#tokens=1328457354
U	và	18553671
U	của	16437666
U	các	16139240
U	có	11265457
U	trong	11030941
U	công	10149513
U	với	9733254
U	cho	9584922
U	là	8778503
U	được	8428383
U	đã	8026009
U	một	7154518
U	người	7151679
U	không	6709769
U	những	6555331
U	tại	6202047
U	về	6189875
U	để	5828319
U	đồng	5450548
U	bộ	5391268
U	chính	5124945
U	động	5103840
U	hiện	5014880
U	nước	5006082
U	việc	4986241
U	quốc	4980186
U	năm	4899245
U	định	4874350
U	nam	4739774
U	đến	4728388
U	quan	4720900
U	thành	4705151
U	nhà	4675923
U	từ	4647486
U	hội	4557724
U	trên	4532451
U	ở	4375703
U	như	4326806
U	ngày	4292008
U	đầu	4218365
U	theo	4200764
U	khi	4193149
U	trường	4144861
U	số	4144840
U	việt	4114221
U	sự	4088077
U	nhân	3995374
U	dân	3990216
U	ra	3942647
U	phát	3919182
U	thông	3916037
U	trung	3893427
U	cơ	3881779
U	vào	3865776
U	nhiều	3859882
U	thực	3842766
U	hàng	3769458
U	gia	3756697
U	thể	3755532
U	này	3752633
U	vụ	3638127
U	đó	3610709
U	hợp	3590925
U	làm	3528988
U	chủ	3521447
U	học	3465129
U	ông	3459961
U	bị	3443462
U	hành	3394609
U	chức	3324101
U	cũng	3316334
U	tế	3313110
U	lý	3310726
U	chỉ	3278662
U	sản	3206310
U	thời	3200389
U	văn	3194994
U	điều	3135028
U	an	3107615
U	nghiệp	3095069
U	đối	3083157
U	tư	3024152
U	sẽ	3015624
U	tác	3004246
U	kinh	2956595
U	cao	2933582
U	trình	2923247
U	triển	2890637
U	viên	2888232
U	thị	2873042
U	đại	2850507
U	tổ	2725316
U	phải	2678942
U	giá	2661709
U	nội	2650100
U	xã	2634760
U	bảo	2633939
U	tỉnh	2626784
U	sinh	2622549
U	dụng	2617066
U	xuất	2589830
U	lại	2587739
U	dự	2585608
U	qua	2525938
U	hình	2523973
U	báo	2523847
U	pháp	2518515
U	lượng	2516858
U	cấp	2503789
U	nhất	2503753
U	biết	2492021
U	án	2486520
U	doanh	2462783
U	đề	2435746
U	nguyễn	2387145
U	hà	2379320
U	hơn	2349870
U	sau	2346328
U	mới	2345821
U	kết	2341114
U	phòng	2325142
U	tiếp	2313737
U	quy	2306533
U	lực	2306233
U	liên	2302176
U	tin	2294608
U	còn	2280386
U	đường	2275933
U	tăng	2270691
U	do	2268916
U	nhận	2266989
U	phương	2266317
U	trước	2253037
U	giải	2240380
U	tổng	2222589
U	sở	2215413
U	giao	2180178
U	đang	2178893
U	trưởng	2178204
U	thủ	2164664
U	cùng	2162535
U	hóa	2156472
U	ảnh	2142571
